scope,layer,route,threshold_id,kind,criterion,epsilon,output_equivalence,observations,mean,median,p90,p99,minimum,maximum,pool_size,mean_pool_fraction,no_active_fraction
layer,7,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,290.59979738329275,291,363,402,113,490,4600,0.063173868996368,0.0
layer,8,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,288.80441794473614,290,355,387,117,468,4600,0.0627835691184209,0.0
layer,9,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,460.2998827324539,458,558,639,178,784,4600,0.10006519189835955,0.0
layer,10,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,269.28002529456967,264,330,382,137,450,4600,0.058539135933602104,0.0
layer,11,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,333.03533445264475,326,410,478,156,604,4600,0.07239898575057495,0.0
layer,12,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,425.6339893778817,423,498,563,211,678,4600,0.09252912812562646,0.0
layer,13,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,968.379939545178,982,1083,1165,359,1350,4600,0.21051737816199523,0.0
layer,14,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,987.454612756948,1003,1102,1175,294,1343,4600,0.21466404625151042,0.0
layer,15,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,1095.2931962810578,1117,1238,1324,282,1535,4600,0.23810721658283865,0.0
layer,16,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,1063.9774641193328,1084,1211,1307,290,1533,4600,0.23129944872159408,0.0
layer,17,q,admission_weight_gt_1e-04,approximate,admission_weight > 1e-04,0.0001,not asserted; approximate pruning threshold,9994240,747.1639712474386,762,855,927,215,1126,4600,0.16242695027118229,0.0
layer,0,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,317.92768774814294,303,409,478,183,561,4600,0.06911471472785716,0.0
layer,1,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,283.75081336850025,282,314,339,181,454,4600,0.06168495942793484,0.0
layer,2,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,269.09150020411755,269,298,330,172,439,4600,0.05849815221828642,0.0
layer,3,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,255.29680976242315,255,272,286,181,337,4600,0.05549930647009199,0.0
layer,4,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,238.68549124295595,239,264,283,150,323,4600,0.051888150270207815,0.0
layer,5,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,215.4954827980917,217,264,286,79,334,4600,0.046846844086541675,0.0
layer,6,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,243.65464417504484,243,309,341,97,428,4600,0.052968400907618444,0.0
layer,7,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,287.0777635918289,288,359,397,113,483,4600,0.062408209476484545,0.0
layer,8,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,285.48518656746285,287,351,383,116,464,4600,0.062061997079883226,0.0
layer,9,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,454.6833375024014,452,552,632,177,778,4600,0.09884420380486987,0.0
layer,10,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,266.21834616739244,261,326,378,135,445,4600,0.05787355351465053,0.0
layer,11,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,329.37951390000643,322,405,472,153,596,4600,0.07160424215217531,0.0
layer,12,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,421.07406446112964,418,493,556,210,670,4600,0.09153784010024557,0.0
layer,13,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,958.6014985631724,972,1073,1154,353,1335,4600,0.20839163012242878,0.0
layer,14,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,977.745235855853,994,1092,1164,286,1327,4600,0.21255331214257675,0.0
layer,15,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,1084.8269462210233,1107,1227,1313,272,1522,4600,0.23583194483065723,0.0
layer,16,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,1054.2816260165855,1074,1201,1297,287,1524,4600,0.2291916578296925,0.0
layer,17,q,admission_weight_gt_1e-03,approximate,admission_weight > 1e-03,0.001,not asserted; approximate pruning threshold,9994240,739.1557469102203,754,847,918,210,1113,4600,0.1606860319370044,0.0
layer,0,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,244.16961900054432,246,294,311,112,413,4600,0.05308035195664007,0.0
layer,1,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,311.5259704589844,308,405,433,134,475,4600,0.06772303705630095,0.0
layer,2,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,328.7191570344518,325,424,450,142,506,4600,0.07146068631183736,0.0
layer,3,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,357.79080300252946,368,444,463,141,495,4600,0.07778060934837597,0.0
layer,4,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,320.66002297323257,328,362,376,107,406,4600,0.06970870064635491,0.0
layer,5,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,295.56592137070953,302,336,349,92,383,4600,0.06425346116754554,0.0
layer,6,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,297.1740270395748,304,344,360,91,407,4600,0.06460304935642931,0.0
layer,7,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,310.7475347800333,317,363,385,95,443,4600,0.06755381190870288,0.0
layer,8,k,exact_margin_gt_0,exact,selection_margin > 0,,mathematically exact,9994240,305.4878192839075,312,360,385,101,446,4600,0.06641039549650164,0.0
